Station,State,Latitude,Longitude,Elevation,Climate Zone
ONTARIO INTL AP,CA,34.0561,-117.6003,289.3,10
DESERT RESORTS RGNL AP,CA,33.6267,-116.1594,-36,15
IMPERIAL CO AP,CA,32.8342,-115.5786,-17.7,15
RIVERSIDE MUNI AP,CA,33.9519,-117.4386,245.4,10
LEMOORE REEVES NAS,CA,36.3333,-119.95,70.7,13
VAN NUYS AP,CA,34.2097,-118.4892,234.7,9
BURBANK GLENDALE PASADENA AP,CA,34.2006,-118.3575,225.9,9
BAKERSFIELD AP,CA,35.4344,-119.0542,149,13
BISHOP AP,CA,37.3711,-118.3581,1250.3,16
BLYTHE AP,CA,33.6186,-114.7142,120.4,15
BARSTOW DAGGETT AP,CA,34.8536,-116.7858,584.3,14
LOS ANGELES INTL AP,CA,33.9381,-118.3889,29.6,6
NEEDLES AP,CA,34.7675,-114.6189,271.3,15
SANDBERG,CA,34.7436,-118.7242,1374.6,16
SAN DIEGO LINDBERGH FLD,CA,32.7336,-117.1831,4.6,7
SANTA ROSA SONOMA CO AP,CA,38.5039,-122.8103,34.7,2
OAKLAND METRO INTL AP,CA,37.7214,-122.2208,1.8,3
SACRAMENTO EXECUTIVE AP,CA,38.5069,-121.495,4.6,12
STOCKTON METRO AP,CA,37.8892,-121.2258,7.9,12
MOFFETT FEDERAL AIRFIELD,CA,37.4058,-122.0481,11.9,4
CONCORD BUCHANAN FLD,CA,37.9917,-122.055,5.5,12
MERCED MUNI AP,CA,37.2847,-120.5128,46.3,12
MODESTO CITY CO AP,CA,37.6242,-120.9506,22.3,12
MONTEREY PENINSUL AP,CA,36.5881,-121.8453,50.3,3
UKIAH MUNI AP,CA,39.1258,-123.2008,183.2,2
WATSONVILLE MUNI AP,CA,36.9358,-121.7886,48.8,3
LIVERMORE MUNI AP,CA,37.6928,-121.8144,119.8,12
EUREKA WFO WOODLEY ISLAND,CA,40.8097,-124.1603,6.1,1
MT SHASTA,CA,41.3325,-122.3328,1077.5,16
RED BLUFF MUNI AP,CA,40.1519,-122.2536,107.6,11
REDDING MUNI AP,CA,40.5175,-122.2986,151.5,11
MONTAGUE SISKIYOU CO AP,CA,41.7806,-122.4717,803.1,16
ARCATA EUREKA AP,CA,40.9781,-124.1086,61,1
CRESCENT CITY MCNAMARA AP,CA,41.7803,-124.2367,17.1,1
RAMONA AP,CA,33.0375,-116.9158,424.6,10
OCEANSIDE MUNI AP,CA,33.2194,-117.3494,8.5,7
CHINA LAKE NAF,CA,35.6875,-117.6931,679.7,14
NORTH ISLAND NAS,CA,32.7,-117.2,7.9,7
LOS ANGELES DWTN USC CAMPUS,CA,34.0511,-118.2353,70.1,9
PALM SPRINGS RGNL AP,CA,33.8281,-116.5053,128.3,15
FRESNO YOSEMITE INTL AP,CA,36.78,-119.7194,101.5,13
SANTA MONICA MUNI AP,CA,34.0158,-118.4514,53,6
MARYSVILLE YUBA CO AP,CA,39.1019,-121.5678,18.9,11
SAN LUIS OBISPO AP,CA,35.2372,-120.6414,61,5
PASO ROBLES MUNI AP,CA,35.6697,-120.6283,246.9,4
OROVILLE MUNI AP,CA,39.49,-121.6183,57.9,11
SACRAMENTO METRO AP,CA,38.6956,-121.5897,7,12
NAPA CO AP,CA,38.2103,-122.2847,4.3,2
VACAVILLE NUT TREE AP,CA,38.3775,-121.9575,33.2,12
MADERA MUNI AP,CA,36.9878,-120.1106,77.1,13
SAN DIEGO MONTGOMERY FLD,CA,32.8158,-117.1394,127.1,7
HAWTHORNE MUNI AP,CA,33.9228,-118.3342,19.2,8
PALMDALE AP,CA,34.6294,-118.0836,769.3,14
SANTA BARBARA MUNI AP,CA,34.4258,-119.8425,2.7,6
SALINAS MUNICIPAL AP,CA,36.6636,-121.6081,22.6,3
SANTA MARIA PUBLIC AP,CA,34.8994,-120.4486,73.8,5
SAN JOSE,CA,37.3592,-121.9239,15.5,4
HANFORD MUNI AP,CA,36.3189,-119.6289,75.9,13
OXNARD VENTURA CO AP,CA,34.2008,-119.2069,11,6
FULLERTON MUNI AP,CA,33.8719,-117.9789,29.3,8
LANCASTER WM J FOX FLD,CA,34.7411,-118.2117,712.6,14
CAMPO ASOS,CA,32.6261,-116.4681,805,14
SAN DIEGO BROWN FLD,CA,32.5722,-116.9794,157,7
CHINO AP,CA,33.9753,-117.6361,198.1,10
SAN FRANCISCO INTL AP,CA,37.6197,-122.3647,2.4,3
HAYWARD AIR TERMINAL,CA,37.6542,-122.115,13.1,3
LONG BEACH DAUGHERTY FLD,CA,33.8117,-118.1464,9.4,8
CAMARILLO AP,CA,34.2167,-119.0833,23.5,6
CARLSBAD PALOMAR AP,CA,33.1281,-117.2794,100,7
SANTA ANA JOHN WAYNE AP,CA,33.68,-117.8664,16.5,6
SOUTH LAKE TAHOE AP,CA,38.8983,-119.9947,1924.5,16
Hagan's Meadow,CA,38.85,-119.94,2370.1,16
Blue Lakes,CA,38.61,-119.92,2455.8,16
Poison Flat,CA,38.51,-119.63,2357.9,16
Sonora Pass,CA,38.31,-119.6,2690.5,16
Leavitt Meadows,CA,38.3,-119.55,2194,16
Virginia Lakes Ridge,CA,38.07,-119.23,2878.8,16
Lobdell Lake,CA,38.44,-119.37,2814.2,16
Ebbetts Pass,CA,38.55,-119.8,2671.6,16
Heavenly Valley,CA,38.92,-119.92,2615.8,16
Leavitt Lake,CA,38.28,-119.61,2931.3,16
Spratt Creek,CA,38.67,-119.82,1863.9,16
Monitor Pass,CA,38.67,-119.61,2532.9,16
Burnside Lake,CA,38.72,-119.89,2477.7,16
Summit Meadow,CA,38.4,-119.54,2838.6,16
Forestdale Creek,CA,38.68,-119.96,2443.6,16
Horse Meadow,CA,38.84,-119.89,2608.2,16
Carson Pass,CA,38.69,-119.99,2546,16
State Line,CA,41.99,-120.72,1731.3,16
Crowder Flat,CA,41.89,-120.75,1575.8,16
Cedar Pass,CA,41.58,-120.3,2142.7,16
Dismal Swamp,CA,41.99,-120.18,2243.3,16
Adin Mtn,CA,41.24,-120.79,1886.7,16
Independence Creek,CA,39.49,-120.28,1967.8,16
Independence Camp,CA,39.45,-120.29,2134.5,16
Independence Lake,CA,39.43,-120.31,2545.7,16
Truckee #2,CA,39.3,-120.18,1983.9,16
Ward Creek #3,CA,39.14,-120.22,2028.4,16
Tahoe City Cross,CA,39.17,-120.15,2071.7,16
Squaw Valley G.C.,CA,39.19,-120.26,2447.2,16
Css Lab,CA,39.33,-120.37,2089.4,16
Rubicon #2,CA,39,-120.13,2343.6,16
Echo Peak,CA,38.85,-120.08,2337.8,16
Fallen Leaf,CA,38.93,-120.05,1900.7,16
